Tweet,Sentimen,Emosi,clean,tokens,filtered,stemmed,final_text
"Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....",1.0,1,cegah mata rantai covidmari kita dirumah saja hingga hari minggu,"['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu']","['cegah', 'mata', 'rantai', 'covidmari', 'dirumah', 'minggu']","['cegah', 'mata', 'rantai', 'covidmari', 'rumah', 'minggu']",cegah mata rantai covidmari rumah minggu
aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ,1.0,-1,aku mohon yaallah semoga wabah covid menghilang sebelum ramadhan datang ,"['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang']","['mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'ramadhan']","['mohon', 'yaallah', 'moga', 'wabah', 'covid', 'hilang', 'ramadhan']",mohon yaallah moga wabah covid hilang ramadhan
Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM,1.0,1,pemprov papua naikkan status jadi tanggap darurat covid opm,"['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm']","['pemprov', 'papua', 'naikkan', 'status', 'tanggap', 'darurat', 'covid', 'opm']","['pemprov', 'papua', 'naik', 'status', 'tanggap', 'darurat', 'covid', 'opm']",pemprov papua naik status tanggap darurat covid opm
Covid belum nyampe prigen mbak hmm hoax,0.0,-2,covid belum nyampe prigen mbak hmm hoax,"['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax']","['covid', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax']","['covid', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax']",covid nyampe prigen mbak hmm hoax
"Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!",-1.0,-2,nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid  lol mikir ,"['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir']","['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'kerumunan', 'orang', 'nularin', 'covid', 'lol', 'mikir']","['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'kerumun', 'orang', 'nularin', 'covid', 'lol', 'mikir']",nyuruh orang pintar lu aja togog kerumun orang nularin covid lol mikir
Pikir2 balik byk mnde plk nk setelkn lepas covid.,0.0,1,pikir balik byk mnde plk nk setelkn lepas covid,"['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']","['pikir', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']","['pikir', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']",pikir byk mnde plk nk setelkn lepas covid
"Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.",1.0,-1,selamat pagi hari jumat jumat keempat di kala pandemi covid semoga kita semua dikasih kesehatan aamiin,"['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin']","['selamat', 'pagi', 'jumat', 'jumat', 'keempat', 'pandemi', 'covid', 'semoga', 'dikasih', 'kesehatan', 'aamiin']","['selamat', 'pagi', 'jumat', 'jumat', 'empat', 'pandemi', 'covid', 'moga', 'kasih', 'sehat', 'aamiin']",selamat pagi jumat jumat empat pandemi covid moga kasih sehat aamiin
"Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.",1.0,-2,hikmah di balik musibah covid smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas melukai kepentingan rakyat,"['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat']","['hikmah', 'musibah', 'covid', 'smg', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'memperkaya', 'keluarga', 'kepentingan', 'golongan', 'membela', 'kepentingan', 'wna', 'yg', 'melukai', 'kepentingan', 'rakyat']","['hikmah', 'musibah', 'covid', 'smg', 'jabat', 'perintah', 'sadar', 'lbh', 'depan', 'kaya', 'negara', 'utk', 'sejahtera', 'rakyat', 'indonesia', 'kaya', 'keluarga', 'penting', 'golong', 'bela', 'penting', 'wna', 'yg', 'luka', 'penting', 'rakyat']",hikmah musibah covid smg jabat perintah sadar lbh depan kaya negara utk sejahtera rakyat indonesia kaya keluarga penting golong bela penting wna yg luka penting rakyat
Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci,1.0,1,cegah covid beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranjikamis febriputraguci,"['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranjikamis', 'febriputraguci']","['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'aksi', 'peduli', 'pembagian', 'masker', 'gratis', 'pengguna', 'jalan', 'kegiatan', 'polsek', 'kuranjikamis', 'febriputraguci']","['cegah', 'covid', 'serta', 'jajar', 'polsek', 'ranji', 'aksi', 'peduli', 'bagi', 'masker', 'gratis', 'guna', 'jalan', 'giat', 'polsek', 'kuranjikamis', 'febriputraguci']",cegah covid serta jajar polsek ranji aksi peduli bagi masker gratis guna jalan giat polsek kuranjikamis febriputraguci
Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah,1.0,-1,ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayangya allah lindungilah kami dari penyakit berjangkit covid  aamiin aamiin ya rabbal alaminstay at home jangan keluar rumah,"['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah']","['ya', 'allah', 'memohon', 'mu', 'perkenankanlah', 'doa', 'doa', 'kerana', 'sesungguhnya', 'engkaulah', 'maha', 'pengasih', 'maha', 'penyayangya', 'allah', 'lindungilah', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'rumah']","['ya', 'allah', 'mohon', 'mu', 'kenan', 'doa', 'doa', 'rana', 'sungguh', 'engkau', 'maha', 'asih', 'maha', 'penyayangya', 'allah', 'lindung', 'sakit', 'jangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'rumah']",ya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha penyayangya allah lindung sakit jangkit covid aamiin aamiin ya rabbal alaminstay at home rumah
